Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2863,Omerta: City of Gangsters,X360,2011,Simulation,Konami Digital Entertainment,0.42,0.23,0,0.06,0.71
2864,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015,Action,Square Enix,0.16,0.13,0.37,0.06,0.71
2866,Top Spin 4,PS3,2011,Sports,Take-Two Interactive,0.17,0.4,0,0.14,0.71
2868,Dynasty Warriors 6,PS3,2007,Action,Tecmo Koei,0.18,0.08,0.41,0.04,0.71
2871,Madden NFL 08,PSP,2007,Sports,Electronic Arts,0.6,0.04,0,0.07,0.71
2876,Madden NFL 09,PSP,2008,Sports,Electronic Arts,0.65,0,0,0.06,0.71
2877,Final Fantasy X/X-2 HD Remaster,PS4,2015,Role-Playing,Square Enix,0.29,0.25,0.06,0.11,0.71
2879,LEGO Rock Band,Wii,2009,Misc,Warner Bros. Interactive Entertainment,0.42,0.22,0,0.07,0.71
2880,MLB 10: The Show,PS3,2010,Sports,Sony Computer Entertainment,0.66,0,0,0.05,0.71
2888,LEGO Harry Potter: Years 1-4,PSP,2010,Action,Warner Bros. Interactive Entertainment,0.14,0.37,0,0.19,0.71
2891,Football Manager 2014,PC,2013,Sports,Sega,0,0.6,0,0.1,0.71
2893,WWE SmackDown vs. Raw 2011,PSP,2010,Fighting,THQ,0.22,0.31,0,0.17,0.71
2896,Metal Gear Solid V: The Phantom Pain,XOne,2015,Action,Konami Digital Entertainment,0.37,0.26,0.01,0.06,0.71
2897,Two Worlds,X360,2007,Role-Playing,SouthPeak Games,0.41,0.23,0,0.07,0.71
2899,NCAA Football 09,X360,2008,Sports,Electronic Arts,0.65,0,0,0.05,0.71
2900,NBA Live 09,X360,2008,Sports,Electronic Arts,0.5,0.14,0,0.07,0.71
2901,Ratchet & Clank: Into the Nexus,PS3,2013,Shooter,Sony Computer Entertainment,0.3,0.29,0,0.11,0.71
2903,2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.39,0.01,0.16,0.71
2904,London 2012: The Official Video Game of the Olympic Games,PS3,2012,Sports,Sega,0.06,0.5,0,0.15,0.7
2905,NHL 12,X360,2011,Sports,Electronic Arts,0.55,0.1,0,0.05,0.7
2907,Infinite Undiscovery,X360,2008,Role-Playing,Square Enix,0.34,0.18,0.12,0.06,0.7
2912,NCAA Football 08,X360,2007,Sports,Electronic Arts,0.65,0,0,0.05,0.7
2920,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS3,2009,Shooter,Activision,0.28,0.3,0,0.12,0.7
2922,Skylanders: Trap Team,WiiU,2014,Action,Activision,0.39,0.25,0,0.06,0.7
2923,Prince of Persia: The Forgotten Sands,PS3,2010,Action,Ubisoft,0.19,0.36,0.01,0.13,0.7
2930,IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,505 Games,0.34,0.26,0,0.1,0.7
2931,Book of Spells,PS3,2012,Action,Sony Computer Entertainment,0.13,0.4,0,0.16,0.7
2935,Metal Gear Solid V: The Phantom Pain,PS3,2015,Action,Konami Digital Entertainment,0.21,0.18,0.22,0.08,0.7
2937,MotionSports,X360,2010,Sports,Ubisoft,0.38,0.26,0,0.06,0.7
2938,MLB 08: The Show,PS3,2008,Sports,Sony Computer Entertainment,0.64,0,0,0.05,0.7
2943,WWE 2K15,X360,2014,Sports,Take-Two Interactive,0.38,0.26,0,0.06,0.69
2945,X-Men Origins: Wolverine - Uncaged Edition,X360,2009,Action,Activision,0.42,0.21,0,0.06,0.69
2946,Metal Gear Solid: Portable Ops Plus,PSP,2007,Action,Konami Digital Entertainment,0.26,0.01,0.26,0.17,0.69
2947,Disney Tangled,Wii,2010,Action,Disney Interactive Studios,0.47,0.17,0,0.05,0.69
2948,Shrek the Third,X360,2007,Action,Activision,0.54,0.1,0,0.06,0.69
2952,Minecraft: Story Mode,PS3,2015,Adventure,Mojang,0.25,0.33,0,0.11,0.69
2954,MX vs. ATV Unleashed: On the Edge,PSP,2006,Racing,THQ,0.64,0,0,0.05,0.69
2955,Skylanders: Trap Team,PS3,2014,Action,Activision,0.24,0.33,0,0.12,0.69
2961,The Sly Collection,PS3,2010,Platform,Sony Computer Entertainment,0.52,0.09,0.01,0.07,0.69
2962,One Piece: Pirate Warriors 2,PS3,2013,Action,Namco Bandai Games,0,0.2,0.42,0.07,0.69
2963,Assassin's Creed IV: Black Flag,PC,2013,Action,Ubisoft,0.22,0.38,0,0.1,0.69
2965,Need for Speed: Shift 2 Unleashed,PS3,2011,Racing,Electronic Arts,0.2,0.36,0,0.13,0.69
2968,MX vs. ATV Untamed,X360,2007,Racing,THQ,0.55,0.08,0,0.06,0.69
2969,The Last Remnant,X360,2008,Role-Playing,Square Enix,0.25,0.2,0.18,0.06,0.69
2971,The Sims: Medieval,PC,2011,Simulation,Electronic Arts,0.27,0.32,0,0.1,0.69
2974,Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,0.39,0.23,0,0.06,0.68
2975,Kirby's Dream Collection: Special Edition,Wii,2012,Action,Nintendo,0.34,0,0.33,0.02,0.68
2976,Bakugan: Battle Brawlers,Wii,2009,Action,Activision,0.6,0.03,0,0.05,0.68
2978,The Last Story,Wii,2011,Role-Playing,Nintendo,0.32,0.13,0.18,0.04,0.68
2980,Iron Man,PS3,2008,Action,Sega,0.32,0.25,0,0.11,0.68
2981,Disney Infinity 3.0,PS4,2015,Action,Disney Interactive Studios,0.21,0.36,0,0.11,0.68
2982,Spider-Man 3,PS3,2007,Platform,Activision,0.26,0.29,0.02,0.12,0.68
2985,Rayman Legends,WiiU,2013,Platform,Ubisoft,0.26,0.33,0.03,0.06,0.68
2988,Hot Shots Golf: Open Tee 2,PSP,2007,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68
2989,Metro: Last Light,PS4,2014,Action,Deep Silver,0.22,0.3,0.04,0.12,0.68
2992,Sniper Elite 3,PS4,2014,Shooter,505 Games,0.22,0.33,0,0.13,0.68
2993,Doom (2016),XOne,2016,Shooter,Bethesda Softworks,0.39,0.23,0,0.06,0.68
2996,Need for Speed (2015),XOne,2015,Racing,Electronic Arts,0.3,0.33,0,0.06,0.68
3000,Red Steel,Wii,2006,Shooter,Ubisoft,0.55,0.04,0.04,0.05,0.68
3003,Mass Effect,PC,2008,Role-Playing,Electronic Arts,0,0.59,0,0.09,0.68
3005,Country Dance,Wii,2011,Misc,Funbox Media,0.59,0.04,0,0.04,0.68
3006,Turok,PS3,2008,Action,Touchstone,0.35,0.22,0.01,0.1,0.68
3009,Unreal Tournament III,PS3,2007,Shooter,Midway Games,0.33,0.24,0,0.11,0.67
3012,Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,0.45,0.17,0,0.05,0.67
3013,Lollipop Chainsaw,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.26,0.21,0.11,0.09,0.67
3014,The Darkness,PS3,2007,Shooter,Take-Two Interactive,0.2,0.34,0,0.13,0.67
3018,Blazing Angels: Squadrons of WWII,PS3,2006,Simulation,Ubisoft,0.35,0.22,0,0.1,0.67
3020,Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,0.33,0.28,0,0.06,0.67
3021,The Biggest Loser: Challenge,Wii,2010,Sports,THQ,0.49,0.13,0,0.05,0.67
3026,Need For Speed: Undercover,Wii,2008,Racing,Electronic Arts,0.27,0.32,0,0.07,0.67
3027,Taiko no Tatsujin Wii,Wii,2008,Misc,Namco Bandai Games,0,0,0.67,0,0.67
3028,The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,0.2,0.42,0,0.05,0.67
3030,The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67
3031,Ratatouille,PSP,2007,Action,THQ,0.22,0.28,0,0.16,0.67
3032,RIFT,PC,2011,Role-Playing,Unknown,0.44,0.16,0,0.07,0.67
3034,Summer Sports: Paradise Island (Others sales),Wii,2008,Sports,Ubisoft,0,0.66,0,0.01,0.67
3035,Castlevania: Lords of Shadow,X360,2010,Action,Konami Digital Entertainment,0.42,0.18,0.01,0.05,0.67
3036,BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,0.28,0.3,0,0.08,0.67
3037,Minecraft: Story Mode,PS4,2015,Adventure,Mojang,0.23,0.33,0,0.11,0.67
3038,TV Show King Party,Wii,2008,Puzzle,Ubisoft,0.18,0.41,0,0.08,0.67
3040,007: Quantum of Solace,Wii,2008,Action,Activision,0.3,0.29,0.01,0.07,0.67
3041,Rock Band 3,Wii,2010,Misc,MTV Games,0.56,0.06,0,0.05,0.67
3042,Command & Conquer: Red Alert 3,PC,2008,Strategy,Electronic Arts,0.01,0.64,0,0.02,0.67
3044,WWE SmackDown vs. RAW 2007,PSP,2006,Fighting,THQ,0.33,0.2,0,0.14,0.67
3048,NHL 13,X360,2012,Sports,Electronic Arts,0.51,0.11,0,0.05,0.67
3049,Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,0.25,0.26,0.05,0.11,0.67
3050,The Sims 3: High-End Loft Stuff,PC,2010,Simulation,Electronic Arts,0.01,0.53,0,0.12,0.67
3055,Shaun White Snowboarding,PS3,2008,Sports,Ubisoft,0.31,0.24,0.01,0.1,0.66
3056,The LEGO Movie Videogame,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.35,0.23,0.03,0.06,0.66
3065,NHL 10,X360,2009,Sports,Electronic Arts,0.51,0.1,0,0.06,0.66
3068,Puzzler Brain Games,Wii,2012,Puzzle,Namco Bandai Games,0,0,0.66,0,0.66
3071,Rayman Legends,PS3,2013,Platform,Ubisoft,0.14,0.38,0,0.14,0.66
3072,Rocksmith 2014,PC,2013,Misc,Ubisoft,0.35,0.24,0,0.07,0.66
3075,Napoleon: Total War,PC,2010,Strategy,Sega,0.02,0.52,0,0.12,0.66
3076,Fist of the North Star: Ken's Rage,PS3,2010,Action,Ubisoft Annecy,0.06,0.03,0.55,0.02,0.66
3078,Toy Story 3: The Video Game,PSP,2010,Action,Disney Interactive Studios,0.27,0.25,0,0.14,0.66
3080,Tiger Woods PGA Tour 09,PS3,2008,Sports,Electronic Arts,0.34,0.22,0,0.1,0.66
3083,New Play Control! Pikmin,Wii,2008,Strategy,Nintendo,0.29,0.14,0.19,0.04,0.66
3086,Gods Eater Burst,PSP,2010,Action,Namco Bandai Games,0.03,0,0.62,0,0.66
3090,Madden NFL 10,PSP,2009,Sports,Electronic Arts,0.5,0.08,0,0.08,0.66
3091,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,2007,Action,Activision,0.23,0.27,0,0.16,0.66
3093,F1 2015,PS4,2015,Racing,Codemasters,0.09,0.44,0.03,0.09,0.66
3094,Scene It? Box Office Smash,X360,2008,Misc,Microsoft Game Studios,0.33,0.25,0,0.07,0.66
3096,Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014,Action,Disney Interactive Studios,0.38,0.22,0,0.06,0.65
3097,NHL 13,PS3,2012,Sports,Electronic Arts,0.33,0.22,0,0.1,0.65
3099,Tom Clancy's EndWar,PS3,2008,Strategy,Ubisoft,0.32,0.22,0.01,0.1,0.65
3100,The Evil Within,XOne,2014,Action,Bethesda Softworks,0.35,0.25,0,0.05,0.65
3101,Tiger Woods PGA Tour 09,X360,2008,Sports,Electronic Arts,0.35,0.23,0,0.07,0.65
3105,Wall-E,PSP,2008,Platform,THQ,0.29,0.22,0,0.14,0.65
3109,Real Heroes: Firefighter,Wii,2009,Action,Rondomedia,0.56,0.04,0,0.05,0.65
3113,MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,0.58,0,0,0.07,0.65
3114,Tiger Woods PGA Tour 10,X360,2009,Sports,Electronic Arts,0.39,0.2,0,0.06,0.65
3125,MX vs. ATV Untamed,PSP,2007,Racing,THQ,0.35,0.18,0,0.12,0.65
3126,Disney Sing It: Party Hits,Wii,2010,Misc,Disney Interactive Studios,0.5,0.11,0,0.05,0.65
3127,Dead or Alive 5,PS3,2012,Fighting,Tecmo Koei,0.23,0.15,0.2,0.07,0.65
3128,Star Ocean: First Departure,PSP,2007,Role-Playing,Square Enix,0.2,0.14,0.22,0.09,0.65
3130,Dragon Age: Inquisition,PS3,2014,Role-Playing,Electronic Arts,0.26,0.23,0.05,0.1,0.65
3131,The Black Eyed Peas Experience,Wii,2011,Misc,Ubisoft,0.39,0.2,0,0.06,0.65
3133,Sengoku Basara: Samurai Heroes,PS3,2010,Action,Capcom,0.17,0.04,0.4,0.03,0.65
3134,Crysis 3,PC,2013,Shooter,Electronic Arts,0.17,0.39,0,0.09,0.64
3138,Diablo III,XOne,2014,Role-Playing,Activision,0.35,0.24,0,0.05,0.64
3140,Crash of the Titans,PSP,2007,Action,Vivendi Games,0.25,0.25,0,0.15,0.64
3141,Aliens: Colonial Marines,PS3,2013,Shooter,Sega,0.2,0.31,0,0.13,0.64
3145,Dragon Ball: Raging Blast 2,X360,2010,Fighting,Namco Bandai Games,0.49,0.09,0.01,0.05,0.64
3147,NBA 2K17,XOne,2016,Sports,Take-Two Interactive,0.54,0.04,0,0.07,0.64
3148,Lost Planet: Extreme Condition,PS3,2008,Shooter,Capcom,0.31,0.17,0.07,0.09,0.64
3149,XCOM: Enemy Unknown,X360,2012,Strategy,Take-Two Interactive,0.36,0.23,0,0.05,0.64
3151,LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.25,0.29,0,0.1,0.64
3154,Stuntman: Ignition,X360,2007,Racing,THQ,0.25,0.32,0,0.07,0.64
3156,Dragon Age II,PC,2011,Action,Electronic Arts,0.23,0.33,0,0.09,0.64
3157,LEGO Star Wars II: The Original Trilogy,X360,2006,Action,LucasArts,0.55,0.04,0,0.05,0.64
3162,The Lord of the Rings: Conquest,X360,2009,Action,Electronic Arts,0.37,0.21,0,0.06,0.64
3165,NieR,PS3,2010,Role-Playing,Square Enix,0.17,0.2,0.2,0.07,0.64
3167,Sega Rally Revo,PS3,2007,Racing,Sega,0.07,0.43,0,0.14,0.64
3171,White Knight Chronicles II,PS3,2010,Role-Playing,Sony Computer Entertainment,0.23,0.09,0.27,0.05,0.64
3172,Wolfenstein,PS3,2009,Shooter,Activision,0.25,0.28,0,0.11,0.64
3174,LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.22,0.32,0,0.1,0.64
3175,Start the Party!,PS3,2010,Misc,Sony Computer Entertainment,0.07,0.42,0,0.14,0.64
3178,NBA Live 08,PS3,2007,Sports,Electronic Arts,0.56,0.02,0.01,0.05,0.64
3179,The Walking Dead: Survival Instinct,X360,2013,Shooter,Activision,0.46,0.12,0,0.05,0.64
3180,Donkey Kong Barrel Blast,Wii,2007,Racing,Nintendo,0.2,0.26,0.11,0.06,0.64
3181,Okami,Wii,2008,Action,Capcom,0.45,0.1,0.04,0.05,0.64
3183,Middle-Earth: Shadow of Mordor,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.33,0.01,0.1,0.64
3184,Family Feud: 2010 Edition,Wii,2009,Misc,Ubisoft,0.59,0,0,0.04,0.64
3185,Red Steel 2,Wii,2010,Shooter,Ubisoft,0.36,0.21,0.01,0.06,0.63
3189,Just Dance 2015,X360,2014,Misc,Ubisoft,0.41,0.16,0,0.06,0.63
3190,F1 2013,PS3,2013,Racing,Codemasters,0.01,0.45,0.03,0.15,0.63
3191,Juiced 2: Hot Import Nights,X360,2007,Racing,THQ,0.22,0.34,0,0.07,0.63
3195,Ghostbusters: The Video Game,X360,2009,Action,Atari,0.43,0.14,0,0.06,0.63
3198,Tony Hawk's Project 8,PS3,2006,Sports,Activision,0.3,0.23,0.01,0.1,0.63
3200,Disney Universe,PS3,2011,Action,Disney Interactive Studios,0.3,0.23,0,0.09,0.63
3201,Guitar Hero: Metallica,PS3,2009,Misc,Activision,0.28,0.24,0,0.1,0.63
3202,Iron Man,PSP,2008,Action,Sega,0.46,0.09,0,0.09,0.63
3207,DJ Hero 2,Wii,2010,Misc,Activision,0.49,0.09,0,0.04,0.63
3209,Condemned 2: Bloodshot,X360,2008,Action,Sega,0.38,0.19,0,0.06,0.63
3210,Cabela's Big Game Hunter (2008),Wii,2007,Sports,Activision,0.58,0,0,0.05,0.63
3212,Just Dance 3,PS3,2011,Misc,Ubisoft,0.33,0.21,0,0.09,0.63
3214,God of War III,PS4,2015,Action,Sony Computer Entertainment,0.23,0.29,0.01,0.1,0.63
3216,Metroid Prime: Trilogy,Wii,2009,Shooter,Nintendo,0.43,0.05,0,0.14,0.63
3218,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",X360,2009,Shooter,Activision,0.34,0.23,0,0.06,0.63
3220,The Sims 3: Generations,PC,2011,Simulation,Electronic Arts,0.4,0.23,0,0,0.63
3221,The Crew,XOne,2014,Racing,Ubisoft,0.24,0.34,0,0.05,0.63
3224,Sonic & All-Stars Racing Transformed,X360,2012,Racing,Sega,0.2,0.37,0,0.06,0.63
3227,Shin Megami Tensei: Persona 3 Portable,PSP,2009,Role-Playing,Ghostlight,0.18,0.06,0.34,0.04,0.63
3229,Tiger Woods PGA Tour 12: The Masters,X360,2011,Sports,Electronic Arts,0.4,0.17,0,0.05,0.63
3232,World of Zoo,Wii,2009,Simulation,THQ,0.41,0.16,0,0.05,0.63
3233,LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.35,0.22,0,0.06,0.63
3234,Wet,PS3,2009,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.63
3243,Prince of Persia: The Forgotten Sands,X360,2010,Action,Ubisoft,0.3,0.26,0,0.06,0.62
3244,Vanquish,PS3,2010,Shooter,Sega,0.21,0.22,0.11,0.09,0.62
3247,Sacred 2: Fallen Angel,PS3,2009,Role-Playing,Deep Silver,0.22,0.23,0.08,0.09,0.62
3249,Far Cry 4,PC,2014,Shooter,Ubisoft,0.15,0.42,0,0.05,0.62
3253,Pro Evolution Soccer 2015,PS3,2014,Sports,Konami Digital Entertainment,0.1,0.23,0.22,0.08,0.62
3254,Evolve,XOne,2015,Shooter,Take-Two Interactive,0.36,0.2,0,0.06,0.62
3256,Dead Island: Riptide,PS3,2013,Action,Deep Silver,0.26,0.2,0.07,0.09,0.62
3257,Warriors Orochi 3,PS3,2011,Action,Ubisoft Annecy,0,0.04,0.57,0.01,0.62
3266,SpongeBob's Atlantis SquarePantis,Wii,2007,Action,THQ,0.57,0.01,0,0.04,0.62
3267,Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,Konami Digital Entertainment,0.14,0.14,0.27,0.06,0.62
3269,Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.08,0.62
3270,WWE SmackDown vs. Raw 2010,PSP,2009,Fighting,THQ,0.25,0.23,0,0.14,0.62
3275,Rocksmith 2014,PS4,2014,Misc,Ubisoft,0.34,0.17,0,0.11,0.62
3278,Wall-E,X360,2008,Platform,THQ,0.29,0.26,0,0.07,0.62
3284,Formula 1: Championship Edition,PS3,2006,Racing,Sony Computer Entertainment,0,0.57,0.04,0,0.61
3285,Muramasa: The Demon Blade,Wii,2009,Role-Playing,Rising Star Games,0.33,0.13,0.11,0.04,0.61
3286,NBA 2K9,PS3,2008,Sports,Take-Two Interactive,0.56,0,0,0.05,0.61
3288,NHL 16,PS4,2015,Sports,Electronic Arts,0.35,0.15,0,0.11,0.61
3289,Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.11,0.61
3292,Dynasty Warriors 8,PS3,2013,Action,Tecmo Koei,0.12,0.11,0.34,0.05,0.61
3293,Disney Sing It: Family Hits,Wii,2010,Misc,Disney Interactive Studios,0.39,0.18,0,0.05,0.61
3297,New Carnival Games,Wii,2010,Misc,Take-Two Interactive,0.35,0.21,0,0.05,0.61
3298,Tony Hawk: RIDE,X360,2009,Sports,Activision,0.46,0.1,0,0.05,0.61
3299,Just Dance 2014,WiiU,2013,Misc,Ubisoft,0.33,0.23,0,0.05,0.61
3303,Cabela's Monster Buck Hunter,Wii,2010,Sports,Activision,0.58,0,0,0.03,0.61
3305,pro evolution soccer 2011,X360,2010,Sports,Konami Digital Entertainment,0.09,0.44,0,0.07,0.61
3306,New Play Control! Donkey Kong Jungle Beat,Wii,2008,Platform,Nintendo,0.24,0.17,0.14,0.05,0.61
3308,Yakuza: Dead Souls,PS3,2011,Shooter,Sega,0.09,0.07,0.42,0.03,0.61
3312,Pac-Man Party,Wii,2010,Misc,Namco Bandai Games,0.47,0.09,0.01,0.04,0.61
3313,Jak and Daxter: The Lost Frontier,PSP,2009,Platform,Sony Computer Entertainment,0.18,0.27,0,0.15,0.61
3314,Major League Baseball 2K8,X360,2008,Sports,Bethesda Softworks,0.56,0,0,0.05,0.61
3316,Major League Baseball 2K9,X360,2009,Sports,Spike,0.56,0,0,0.05,0.61
3318,Split/Second,X360,2010,Racing,Disney Interactive Studios,0.32,0.23,0,0.06,0.61
3325,Guitar Hero: Smash Hits,Wii,2009,Misc,Activision,0.33,0.21,0,0.06,0.61
3326,Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,2008,Misc,Disney Interactive Studios,0.37,0.16,0.01,0.06,0.61
3329,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007,Action,Activision,0.51,0.05,0,0.05,0.61
3333,Fighters Uncaged,X360,2010,Fighting,Ubisoft,0.31,0.24,0,0.06,0.61
3334,Call of Juarez: Bound in Blood,X360,2009,Shooter,Ubisoft,0.3,0.24,0,0.06,0.61
3335,New Play Control! Pikmin 2,Wii,2009,Strategy,Nintendo,0.11,0.14,0.33,0.02,0.6
3343,MonHun Nikki: Poka Poka Ailu Mura,PSP,2010,Role-Playing,Capcom,0,0,0.6,0,0.6
3346,Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,0.36,0.19,0,0.05,0.6
3347,Disney Infinity,WiiU,2013,Action,Disney Interactive Studios,0.33,0.22,0,0.05,0.6
3350,Tony Hawk: RIDE,PS3,2009,Sports,Activision,0.38,0.15,0,0.08,0.6
3352,Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,0.22,0.25,0.04,0.09,0.6
3353,LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.37,0,0.1,0.6
3357,Avatar: The Game,PSP,2009,Action,Ubisoft,0.22,0.24,0,0.14,0.6
3361,Tomb Raider (2013),XOne,2014,Action,Square Enix,0.34,0.21,0,0.05,0.6
3364,Skylanders SWAP Force,WiiU,2013,Platform,Activision,0.4,0.15,0,0.06,0.6
3366,Disney Sing It! High School Musical 3: Senior Year,Wii,2008,Misc,Disney Interactive Studios,0.32,0.23,0,0.04,0.6
3370,XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,0.24,0.25,0,0.11,0.6
3371,Blur,X360,2010,Racing,Activision,0.25,0.28,0,0.06,0.6
3375,NHL 11,PS3,2010,Sports,Electronic Arts,0.4,0.13,0,0.07,0.6
3376,Kinect Rush: A Disney Pixar Adventure,X360,2012,Adventure,Microsoft Game Studios,0.38,0.16,0,0.05,0.6
3377,Monopoly,X360,2008,Misc,Electronic Arts,0.34,0.2,0,0.06,0.6
3378,Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,0.26,0.24,0,0.1,0.6
3381,The Fight: Lights Out,PS3,2010,Fighting,Sony Computer Entertainment,0.29,0.22,0,0.09,0.6
3384,Dead Space,PC,2008,Action,Electronic Arts,0,0.53,0,0.06,0.59
3387,London 2012: The Official Video Game of the Olympic Games,X360,2012,Sports,Sega,0.07,0.46,0,0.07,0.59
3388,Beijing 2008,X360,2008,Sports,Sega,0.15,0.38,0,0.07,0.59
3390,Jeopardy!,Wii,2010,Misc,THQ,0.56,0,0,0.03,0.59
3392,Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft,0.15,0.34,0,0.1,0.59
3397,Iron Man,Wii,2008,Action,Sega,0.31,0.22,0,0.06,0.59
3398,Kane & Lynch 2: Dog Days,PS3,2010,Shooter,Square Enix,0.17,0.28,0.05,0.1,0.59
3400,Total War: Shogun 2,PC,2011,Strategy,Sega,0.19,0.31,0,0.09,0.59
3403,Yakuza 5,PS3,2012,Action,Sega,0,0,0.59,0,0.59
3404,LEGO Indiana Jones 2: The Adventure Continues,PSP,2009,Action,Activision,0.21,0.24,0,0.14,0.59
3406,Naruto: The Broken Bond,X360,2008,Action,Ubisoft,0.24,0.28,0,0.07,0.59
3412,Go Diego Go! Great Dinosaur Rescue,Wii,2008,Action,Take-Two Interactive,0.53,0.02,0,0.04,0.59
3413,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007,Action,Activision,0.52,0.03,0,0.04,0.59
3416,Payday 2,X360,2013,Shooter,505 Games,0.33,0.21,0,0.05,0.59
3419,SoulCalibur V,X360,2012,Fighting,Namco Bandai Games,0.39,0.14,0.02,0.04,0.59
3420,NHL 12,PS3,2011,Sports,Electronic Arts,0.36,0.16,0,0.07,0.59
3421,Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,0.05,0.09,0.42,0.03,0.59
3424,Skate it,Wii,2008,Sports,Electronic Arts,0.51,0.04,0,0.05,0.59
3425,Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.18,0,0.05,0.59
3427,Lost: Via Domus,X360,2008,Action,Ubisoft,0.18,0.34,0,0.07,0.59
3429,Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,Square Enix,0.39,0.02,0.13,0.04,0.59
3430,Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.2,0.22,0.08,0.08,0.59
3431,Ben 10: Alien Force,PSP,2008,Action,Koch Media,0.35,0.14,0,0.1,0.59
3432,Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,0.25,0.25,0,0.09,0.59
3433,Zumba Fitness,PS3,2010,Sports,505 Games,0.28,0.21,0,0.09,0.59
3438,Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,0.26,0.22,0,0.1,0.59
3440,Top Spin 3,Wii,2008,Action,Take-Two Interactive,0.15,0.37,0,0.07,0.58
3441,Petz Dogz 2,Wii,2007,Simulation,Ubisoft,0.53,0.01,0,0.04,0.58
3443,The Conduit,Wii,2009,Shooter,Sega,0.29,0.23,0,0.06,0.58
3444,Just Dance 2016,WiiU,2015,Misc,Ubisoft,0.28,0.25,0,0.05,0.58
3447,Cabela's Dangerous Hunts 2011,Wii,2010,Sports,Activision,0.53,0.02,0,0.04,0.58
3448,NHL 15,PS4,2014,Sports,Electronic Arts,0.3,0.18,0,0.1,0.58
3453,Trivial Pursuit,Wii,2009,Misc,Electronic Arts,0.21,0.31,0,0.07,0.58
3454,The Legend of Spyro: Dawn of the Dragon,Wii,2008,Platform,Vivendi Games,0.35,0.18,0,0.05,0.58
3455,The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,0.02,0.18,0,0.39,0.58
3456,Kinect Sports Rivals,XOne,2014,Sports,Microsoft Game Studios,0.3,0.22,0.02,0.04,0.58
3457,Rayman Origins,Wii,2011,Platform,Ubisoft,0.23,0.29,0,0.07,0.58
3458,WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.31,0.22,0,0.05,0.58
3459,Titanfall,PC,2014,Shooter,Electronic Arts,0.21,0.3,0,0.07,0.58
3460,NCAA Football 09,PS3,2008,Sports,Electronic Arts,0.54,0,0,0.04,0.58
3461,Tom Clancy's HAWX,X360,2009,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58
