Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Type,Popularity,Capacity
Allingham Arms Hotel,http://www.allinghamarmshotel.ie,+353(0)719841075,-8.283657303,54.47678236,Donegal,Bundoran,Republic of Ireland,Hotel,5,317
The Oakwood Hotel,http://www.oakwoodarms.com,+353(0)61361500,-8.87466725,52.71263058,Clare,Shannon Town,Republic of Ireland,Hotel,4,301
Round Tower Hotel,http://www.roundtowerhotel.ie/,+353(0)2494494,-7.729672906,51.95094984,Waterford,Ardmore,Republic of Ireland,Hotel,4,394
Killeen House Hotel,http://www.killeenhousehotel.com,+353(0)646631711,-9.571235527999999,52.07554942,Kerry,Killarney,Republic of Ireland,Hotel,4,66
Leixlip House Hotel,http://www.leixliphouse.com,+353(0)16242268,-6.488585717,53.36552348,Kildare,Leixlip,Republic of Ireland,Hotel,2,250
Harbour View Hotel,http://www.harbourhotel.ie,+353(0)45879145,-6.667711507000001,53.21620728,Kildare,Naas,Republic of Ireland,Hotel,2,305
Glenlo Abbey Hotel & Estate,https://www.glenloabbeyhotel.ie/,+353(0)91519600,-9.098559728,53.30040497,Galway,Galway,Republic of Ireland,Hotel,2,359
Cill Aodain Court Hotel,http://www.cillaodain.ie,+353(0)949381761,-8.998056,53.85041999999999,Mayo,Kiltimagh,Republic of Ireland,Hotel,5,191
Randles Hotel,http://www.randleshotel.com,+353(0)646635333,-9.506521749,52.05395927,Kerry,Killarney,Republic of Ireland,Hotel,5,129
Clanree Hotel,http://www.clanreehotel.com,+353(0)749124369,-7.6975533810000005,54.94371626,Donegal,Letterkenny,Republic of Ireland,Hotel,5,249
Whitford House Hotel Health & Leisure Club,http://www.whitford.ie,+353(0)539143444,-6.501243337999999,52.32357578,Wexford,Wexford,Republic of Ireland,Hotel,2,394
Bay View Hotel,http://www.bayviewhotel.ie,+353(0)749731950,-8.442173954,54.63680048,Donegal,Killybegs,Republic of Ireland,Hotel,5,367
The House Hotel,http://www.thehousehotel.ie,+353(0)91538900,-9.053488865,53.27050368,Galway,Galway City,Republic of Ireland,Hotel,4,118
Dylan Hotel,http://www.dylan.ie,+353(0)16603000,-6.242103406,53.33380474,Dublin,Dublin City,Republic of Ireland,Hotel,3,289
Walter Raleigh Hotel,http://www.walterraleighhotel.com,+353(0)2492011,-7.8434903910000005,51.94677001,Cork,Youghal,Republic of Ireland,Hotel,4,242
Temple Bar Hotel,http://www.templebarhotel.com,+353(0)16773333,-6.260227658,53.34589926,Dublin,Dublin City,Republic of Ireland,Hotel,5,282
Crover House Hotel,http://www.croverhousehotel.ie,+353(0)498540206,-7.296854741000001,53.82602858,Cavan,Mountnugent,Republic of Ireland,Hotel,3,109
Maples House Hotel,http://www.mapleshousehotel.ie/,+353(0)18304227,-6.265321085,53.3662358,Dublin,Dublin,Republic of Ireland,Hotel,3,386
Victoria Towers Hotel,http://www.victoriahotelgalway.com,+353(0)91567433,-9.047776566,53.27305634,Galway,Galway,Republic of Ireland,Hotel,3,398
Commercial and Tourist Hotel,http://www.hotelcommercial.com,+353(0)719644675,-7.800387073,54.05302292,Leitrim,Ballinamore,Republic of Ireland,Hotel,4,180
Gold Coast Golf Hotel,http://www.goldcoastgolfresort.com,+353(0)5845050,-7.570264,52.085291999999995,Waterford,Dungarvan,Republic of Ireland,Hotel,4,221
Bellbridge House Hotel,http://www.bellbridgehotelclare.com,+353(0)657084038,-9.429529063,52.83769056,Clare,Miltown Malbay,Republic of Ireland,Hotel,2,268
Fitzsimons Hotel,http://www.fitzsimonshotel.com,+353(0)16779315,-6.26514482,53.34554437,Dublin,Dublin 2,Republic of Ireland,Hotel,4,193
Sligo City Hotel,http://www.sligocityhotel.com,+353(0)719144000,-8.476161321000001,54.27319286,Sligo,Sligo Town,Republic of Ireland,Hotel,1,91
Mespil Hotel,http://www.mespil.com,+353(0)14884600,-6.246573483,53.33329991,Dublin,Dublin 4,Republic of Ireland,Hotel,2,369
Kilmurry Lodge Hotel,http://www.kilmurrylodge.com,+353(0)61331133,-8.553225624,52.66874797,Limerick,Limerick City,Republic of Ireland,Hotel,1,338
Gullane's Hotel,http://www.gullaneshotel.com,+353(0)909642220,-8.221166371,53.33057938,Galway,Ballinasloe,Republic of Ireland,Hotel,3,274
River Island Hotel,http://www.riverislandhotel.com/,+353(0)667142555,-9.464129475,52.23068698,Kerry,Castleisland,Republic of Ireland,Hotel,3,102
Beresford Hotel,http://www.beresfordhotelifsc.com,+353(0)18134700,-6.252694292999999,53.35009336,Dublin,Dublin City,Republic of Ireland,Hotel,2,262
The Darnley Lodge Hotel,http://www.darnleylodgehotel.ie,+353(0)469432283,-6.920571000000001,53.621781000000006,Meath,Athboy,Republic of Ireland,Hotel,3,312
The Fleet Street Hotel,http://www.fleetstreethotel.com,+353(0)16708124,-6.259793,53.345873,Dublin,Dublin 2,Republic of Ireland,Hotel,4,354
Hotel Saint George,http://www.thekeycollection.ie/hotel-st-george-dublin-city.html,+353(0)18745611,-6.262318627000001,53.35383382,Dublin,Dublin 1,Republic of Ireland,Hotel,3,243
Harding Hotel,http://www.hardinghotel.ie,+353(0)16796500,-6.269974125,53.34384313,Dublin,Dublin 2,Republic of Ireland,Hotel,3,376
Cahir House Hotel,http://www.cahirhousehotel.ie,+353(0)527443000,-7.924338852000001,52.37423599,Tipperary,Cahir,Republic of Ireland,Hotel,2,264
Glenroyal Hotel,http://www.glenroyal.ie/?gclid=CKC0nvGkzcwCFaic2wodXP0IxA,+353(0)16290909,-6.588407431,53.379975,Kildare,Maynooth,Republic of Ireland,Hotel,2,352
Dunmore House Hotel,http://www.dunmorehousehotel.ie,+353(0)238833352,-8.867678904,51.5902265,Cork,Clonakilty,Republic of Ireland,Hotel,4,190
The Residence Hotel,http://www.theresidencehotel.ie,+353(0)91569600,-9.054262487,53.27105918,Galway,Galway City,Republic of Ireland,Hotel,1,104
Park House Hotel,http://www.parkhousehotel.ie,+353(0)91564924,-9.046731097,53.27447413,Galway,Galway City,Republic of Ireland,Hotel,2,163
Dinn Rí Hotel,http://www.dinnri.com,+353(0)599133111,-6.930033732,52.83584625,Carlow,Carlow Town,Republic of Ireland,Hotel,3,152
Eyre Square Hotel,http://www.eyresquarehotel.com,+353(0)91569633,-9.047347177999999,53.2743157,Galway,Galway,Republic of Ireland,Hotel,5,72
Temple Gate Hotel,http://www.templegatehotel.com,+353(0)656823300,-8.98143238,52.84387926,Clare,Ennis,Republic of Ireland,Hotel,1,374
Drury Court Hotel,http://www.drurycourthotel.ie,+353(0)14751988,-6.2646678179999995,53.34121166,Dublin,Dublin City,Republic of Ireland,Hotel,3,66
Hayfield Manor Hotel,http://www.hayfieldmanor.ie,+353(0)214845900,-8.490155999999999,51.890985,Cork,Cork,Republic of Ireland,Hotel,4,180
Maldron Hotel Shandon Cork City,http://www.maldronhotelcork.com,+353(0)214529200,-8.474613,51.902747999999995,Cork,Cork City,Republic of Ireland,Hotel,4,278
Uppercross House Hotel,http://www.uppercrosshousehotel.com,+353(0)14975486,-6.265201,53.320834,Dublin,Dublin 6,Republic of Ireland,Hotel,1,121
Jackson Court Hotel,http://www.jackson-court.ie,+353(0)14255300,-6.263599,53.335378000000006,Dublin,Dublin City,Republic of Ireland,Hotel,3,334
Ashley Hotel,http://www.ashleyhotel.com,+353(0)214501518,-8.470816000000001,51.901953999999996,Cork,Cork City,Republic of Ireland,Hotel,5,134
Cassidy's Hotel,http://www.cassidyshotel.com,+353(0)18780555,-6.261571,53.353173999999996,Dublin,Dublin 1,Republic of Ireland,Hotel,4,233
Maldron Hotel Newlands Cross,http://www.maldronhotelnewlandscross.com/,+353(0)14640140,-6.392586,53.313598999999996,Dublin,Clondalkin,Republic of Ireland,Hotel,5,104
The Mercantile Hotel,http://www.mercantilehotel.ie,+353(0)16707100,-6.264007,53.343915,Dublin,Dublin City,Republic of Ireland,Hotel,1,131
Herbert Park Hotel,http://www.herbertparkhotel.ie,+353(0)16672200,-6.2320346429999995,53.32837767,Dublin,Dublin City,Republic of Ireland,Hotel,5,55
Blooms Hotel,https://www.blooms.ie/,+353(0)16715622,-6.262143,53.344811,Dublin,Dublin 2,Republic of Ireland,Hotel,2,319
Templemore Arms Hotel,http://www.templemorearms.com,+353(0)50431423,-7.833303,52.797279,Tipperary,Templemore,Republic of Ireland,Hotel,1,101
Merriman Hotel,http://www.merrimanhotel.com,+353(0)91638222,-8.939892,53.139309999999995,Galway,Kinvara,Republic of Ireland,Hotel,4,355
Raheen House Hotel,http://www.raheenhouse.ie,+353(0)526122140,-7.696114,52.350914,Tipperary,Clonmel,Republic of Ireland,Hotel,2,119
Handels Hotel,https://www.thekeycollections.com/handels-hotel-temple-bar,+353(0)16709400,-6.269674355,53.34408674,Dublin,Dublin 2,Republic of Ireland,Hotel,1,258
"Citywest Hotel, Leisure & Events",http://www.citywesthotel.com,+353(0)14010500,-6.450051,53.285947,Dublin,Saggart,Republic of Ireland,Hotel,5,113
Armada Hotel,http://www.armadahotel.com,+353(0)657079000,-9.436894,52.845222,Clare,Miltown Malbay,Republic of Ireland,Hotel,1,176
Hard Rock Hotel Dublin,https://www.hardrockhotels.com/dublin,+353(0)14825000,-6.268179,53.344112,Dublin,Dublin 2,Republic of Ireland,Hotel,3,136
Dunbrody Country House Hotel,http://www.dunbrodyhouse.com,+353(0)51389600,-6.942125,52.23985,Wexford,Arthurstown,Republic of Ireland,Hotel,1,350
Hotel Isaacs,https://www.hotelisaacscork.com/,+353(0)214500011,-8.468088999999999,51.901594,Cork,Cork City,Republic of Ireland,Hotel,2,172
"Celtic Ross Hotel, Conference, Leisure Centre & Holistic Suite",http://www.celticrosshotel.com,+353(0)238848722,-9.028939999999999,51.57588,Cork,West Cork,Republic of Ireland,Hotel,5,282
Knockranny House Hotel & Spa,http://www.knockrannyhousehotel.ie,+353(0)9828600,-9.507916,53.802153000000004,Mayo,Westport,Republic of Ireland,Hotel,1,61
Casey's of Baltimore Hotel,http://www.caseysofbaltimore.com,+353(0)2820197,-9.362506,51.484671,Cork,Baltimore,Republic of Ireland,Hotel,1,207
Limerick City Hotel,http://www.limerickcityhotel.ie,+353(0)61207000,-8.632996,52.660872,Limerick,Limerick City,Republic of Ireland,Hotel,4,83
Fennessys Hotel,http://www.fennessyshotel.com,+353(0)526123680,-7.702124,52.354589000000004,Tipperary,Clonmel,Republic of Ireland,Hotel,5,186
Ibis Hotel,http://www.ibis.com/gb/hotel-0595-ibis-dublin/index.shtml,+353(0)14641480,-6.372506,53.318293000000004,Dublin,Clondalkin,Republic of Ireland,Hotel,3,242
Brooks Hotel,http://www.brookshotel.ie,+353(0)16704000,-6.263599,53.341547999999996,Dublin,Dublin City,Republic of Ireland,Hotel,3,258
Springfort Hall Country House Hotel,http://www.springfort-hall.com,+353(0)2221278,-8.644394,52.137064,Cork,Mallow,Republic of Ireland,Hotel,2,340
Emmet Hotel,https://www.emmethotel.com/,+353(0)238833394,-8.891233,51.622151,Cork,Clonakilty,Republic of Ireland,Hotel,5,127
Benners Hotel Tralee,http://www.bennershoteltralee.ie,+353(0)667129486,-9.702506131,52.26889829,Kerry,Tralee,Republic of Ireland,Hotel,2,267
Maryborough Hotel & Spa,http://www.maryborough.com,+353(0)214365555,-8.420278,51.873794000000004,Cork,Cork,Republic of Ireland,Hotel,2,68
Shamrock Lodge Hotel,http://www.shamrocklodgehotel.ie,+353(0)906492601,-7.950761,53.421431999999996,Westmeath,Athlone,Republic of Ireland,Hotel,3,110
Torc Hotel,https://www.torchotel.ie/,+353(0)646634168,-9.448667,52.052287,Kerry,Killarney,Republic of Ireland,Hotel,2,377
Tullamore Court Hotel,http://www.tullamorecourthotel.ie,+353(0)579346666,-7.492425999999999,53.26988299999999,Offaly,Tullamore,Republic of Ireland,Hotel,4,359
Red Cow Moran Hotel,http://www.redcowmoranhotel.com/,+353(0)14593650,-6.363908,53.318877,Dublin,Clondalkin,Republic of Ireland,Hotel,1,70
Becketts Hotel,http://www.beckettshotel.ie,+353(0)16247040,-6.482476999999999,53.359233999999994,Kildare,Leixlip,Republic of Ireland,Hotel,4,283
"Radisson Blu Hotel, Dublin Airport",http://www.radissonblu.ie/hotel-dublinairport,+353(0)18446000,-6.232407,53.426515,Dublin,Dublin Airport,Republic of Ireland,Hotel,1,167
Rhu Glenn Country Club Hotel,http://www.rhuglennhotel.com,+353(0)51832242,-7.054185,52.297288,Waterford,Waterford City,Republic of Ireland,Hotel,4,83
Mayfly Hotel,http://www.mayflyhotel.com,+353(0)949256801,-9.114866000000001,53.980789,Mayo,Foxford,Republic of Ireland,Hotel,3,267
Arlington Hotel O'Connell Bridge,http://www.arlington.ie,+353(0)18049100,-6.260918,53.347243000000006,Dublin,Dublin City,Republic of Ireland,Hotel,2,384
Ambassador Hotel & Health Club,http://www.ambassadorhotelcork.ie,+353(0)214539000,-8.459401,51.905133,Cork,Cork City,Republic of Ireland,Hotel,4,336
Galway Bay Hotel Conference and Leisure Centre,http://www.galwaybayhotel.net/,+353(0)91520520,-9.084982,53.258713,Galway,Galway City,Republic of Ireland,Hotel,4,106
Caulfields Hotel,,+353(0)18781550,-6.262576,53.358236,Dublin,Dublin 1,Republic of Ireland,Hotel,3,141
Maldron Hotel Galway,http://www.maldronhotelgalway.com,+353(0)91792244,-8.927413,53.277851,Galway,Oranmore,Republic of Ireland,Hotel,3,287
"Abbey Court Hotel, Lodges, and Trinity Leisure Spa",http://www.abbeycourt.ie,+353(0)6741111,-8.190088000000001,52.864706000000005,Tipperary,Nenagh,Republic of Ireland,Hotel,1,391
Sandymount Hotel,http://www.sandymounthotel.ie,+353(0)16142000,-6.224431,53.333405000000006,Dublin,Dublin City,Republic of Ireland,Hotel,2,372
Riverside Park Hotel and Leisure Club,http://www.riversideparkhotel.com,+353(0)539237800,-6.566902000000001,52.497528,Wexford,Enniscorthy,Republic of Ireland,Hotel,4,58
Downhill Inn Hotel,http://www.downhillinn.ie,+353(0)9673444,-9.135038,54.119429000000004,Mayo,Ballina,Republic of Ireland,Hotel,1,175
Schoolhouse Hotel,http://www.schoolhousehotel.com,+353(0)16675014,-6.239431,53.337389,Dublin,Dublin City,Republic of Ireland,Hotel,2,76
Clontarf Castle Hotel,http://www.clontarfcastle.ie,+353(0)18534310,-6.206986,53.364817,Dublin,Dublin 3,Republic of Ireland,Hotel,2,393
Waterford Marina Hotel,http://www.waterfordmarinahotel.com,+353(0)51856600,-7.101714,52.258345,Waterford,Waterford City,Republic of Ireland,Hotel,4,260
Yeats County Inn Hotel,http://yeatscountyinn.com/,+353(0)949255050,-8.771322999999999,54.00323,Sligo,Curry,Republic of Ireland,Hotel,5,297
South Court Hotel and Suites,http://www.southcourthotel.com,+353(0)61487487,-8.663725999999999,52.62786,Limerick,Raheen,Republic of Ireland,Hotel,1,392
Killarney Court Hotel,http://www.killarneycourthotel.com/,+353(0)646637070,-9.515446,52.068822999999995,Kerry,Killarney,Republic of Ireland,Hotel,1,382
Radisson Blu St. Helen's Hotel,http://www.radissonblu.ie/sthelenshotel-dublin,+353(0)12186000,-6.20564,53.304792000000006,Dublin,Dublin City,Republic of Ireland,Hotel,4,110
The Camden Hotel By The Key Collection,https://www.thekeycollections.com/the-camden-hotel-central-dublin,+353(0)14780808,-6.265624,53.33594,Dublin,Dublin 2,Republic of Ireland,Hotel,4,100
The Parkavon Hotel Killarney,https://www.parkavonhotel.com/,+353(0)646633000,-9.507411,52.04956,Kerry,Killarney,Republic of Ireland,Hotel,2,340
Grand Hotel,http://www.grandhotelmoate.com,+353(0)906481104,-7.719105,53.395244999999996,Westmeath,Moate,Republic of Ireland,Hotel,5,90
Menlo Park Hotel,http://www.menloparkhotel.com,+353(0)91761122,-9.046855,53.287895999999996,Galway,Terryland,Republic of Ireland,Hotel,1,326
Academy Plaza Hotel,http://academyplazahotel.ie,+353(0)18780666,-6.259991,53.352524,Dublin,Dublin City,Republic of Ireland,Hotel,2,138
Plaza Hotel,http://www.plazahotel.ie,+353(0)14624200,-6.3673589999999995,53.285709999999995,Dublin,Tallaght,Republic of Ireland,Hotel,1,99
Fitzwilliam Hotel,http://www.fitzwilliamhoteldublin.com,+353(0)14787000,-6.261419999999999,53.339403000000004,Dublin,Dublin City,Republic of Ireland,Hotel,4,395
Portobello Hotel,http://www.portobellohotel.ie,+353(0)14752715,-6.264121,53.330367,Dublin,Dublin City,Republic of Ireland,Hotel,1,218
Fort Conan Hotel,http://www.fortconanhotel.com,+353(0)51389163,-6.930495,52.221298,Wexford,Wexford,Republic of Ireland,Hotel,2,284
Camden Court Hotel,http://www.booking.com,+353(0)14759666,-6.264507,53.333103,Dublin,Dublin City,Republic of Ireland,Hotel,5,110
Carrigaline Court Hotel and Leisure Centre,http://www.carrigcourt.com,+353(0)214852100,-8.392128,51.816125,Cork,Carrigaline,Republic of Ireland,Hotel,1,315
Horse and Jockey Hotel,http://www.horseandjockeyhotel.com,+353(0)50444192,-7.775734,52.615607,Tipperary,Thurles,Republic of Ireland,Hotel,5,334
Inchydoney Island Lodge & Spa,http://www.inchydoneyisland.com,+353(0)238833143,-8.862292,51.597367,Cork,Clonakilty,Republic of Ireland,Self Catering,5,15
Newgrange Hotel,http://www.newgrangehotel.ie,+353(0)469074100,-6.682933,53.651889000000004,Meath,Navan,Republic of Ireland,Hotel,1,356
Meadowlands Hotel,http://www.meadowlandshotel.com/,+353(0)667180444,-9.691311,52.27621,Kerry,Tralee,Republic of Ireland,Hotel,4,218
Roxford Lodge Hotel,http://www.roxfordlodge.ie/en/,+353(0)16688572,-6.237116,53.335390000000004,Dublin,Dublin City,Republic of Ireland,Hotel,5,200
Scotts Hotel,http://www.scottshotelkillarney.com,+353(0)646631060,-9.506296,52.059304,Kerry,Killarney,Republic of Ireland,Hotel,2,269
Lady Gregory Hotel Conference and Leisure Club,http://www.ladygregoryhotel.ie,+353(0)91632333,-8.814912,53.061220999999996,Galway,Gort,Republic of Ireland,Hotel,1,192
Taylors Three Rock Hotel,http://www.taylorsthreerock.ie,+353(0)14942311,-6.262253,53.268386,Dublin,Dublin City,Republic of Ireland,Hotel,3,347
Nesbitt Arms Boutique Hotel,http://www.nesbittarms.com,+353(0)749541103,-8.413699598,54.76205212,Donegal,Ardara,Republic of Ireland,Hotel,4,233
Treacys Hotel,http://www.treacyshotel.com,+353(0)539237798,-6.5652,52.50305899999999,Wexford,Enniscorthy,Republic of Ireland,Hotel,2,130
Times Hotel,,+353(0)6231111,-8.157902,52.473949,Tipperary,Tipperary Town,Republic of Ireland,Hotel,1,337
Knock House Hotel,http://www.knockhousehotel.ie,+353(0)949388088,-8.914327,53.791039000000005,Mayo,Knock,Republic of Ireland,Hotel,3,300
Quality Hotel and Leisure Centre Clonakilty,http://www.qualityhotelclonakilty.com,+353(0)238836400,-8.8957,51.616378000000005,Cork,Clonakilty,Republic of Ireland,Hotel,2,304
Kilkenny River Court Hotel,https://www.rivercourthotel.com,+353(0)567723388,-7.249255000000001,52.651540000000004,Kilkenny,Kilkenny,Republic of Ireland,Hotel,4,176
Faithlegg House Hotel,http://www.faithlegg.com,+353(0)51382000,-7.025256,52.2581,Waterford,Waterford,Republic of Ireland,Hotel,4,44
Bella Vista Hotel,http://www.bellavistahotel.ie,+353(0)214812450,-8.297062,51.851385,Cork,Cobh,Republic of Ireland,Hotel,4,99
Ardmore Country House Hotel,http://www.ardmorecountryhouse.com,+353(0)9825994,-9.552036,53.79608,Mayo,Westport,Republic of Ireland,Hotel,4,276
Carrolls Hotel,http://www.carrollsknocktopher.com,+353(0)567768082,-7.217756,52.485853000000006,Kilkenny,Knocktopher,Republic of Ireland,Hotel,2,397
Óstán Oileán Acla Hotel,http://www.achillislandhotel.com,+353(0)9845138,-9.92021,53.933040000000005,Mayo,Achill Island -Acaill,Republic of Ireland,Hotel,3,377
Leenane Hotel,http://leenanehotel.com/,+353(0)9542249,-9.704930000000001,53.594556999999995,Galway,Leenane,Republic of Ireland,Hotel,3,103
The Wilton Hotel,http://www.wiltonhotelbray.com,+353(0)12760258,-6.100199,53.186639,Wicklow,Bray,Republic of Ireland,Hotel,1,107
Westport Coast Hotel,http://www.westportcoasthotel.ie,+353(0)9829000,-9.549882,53.799578000000004,Mayo,Westport,Republic of Ireland,Hotel,5,179
"The Morrison, a DoubleTree by Hilton Hotel",http://www.morrisonhotel.ie,+353(0)18872400,-6.266094,53.346516,Dublin,Dublin 1,Republic of Ireland,Hotel,1,340
Shannon Springs Hotel,http://www.shannonspringshotel.com,+353(0)61364588,-8.862044000000001,52.714901,Clare,Shannon V14 A336,Republic of Ireland,Hotel,5,370
Grand Central Hotel,http://www.grandcentralbundoran.com/,+353(0)719842722,-8.276529,54.47987,Donegal,Bundoran,Republic of Ireland,Hotel,3,325
The Landmark Hotel,http://www.thelandmarkhotel.com,+353(0)719622222,-8.092845,53.94355,Leitrim,Carrick On Shannon,Republic of Ireland,Hotel,5,132
Bridge House Hotel Spa and Leisure Club,http://www.bridgehouse.com,+353(0)579325600,-7.492878,53.274912,Offaly,Tullamore,Republic of Ireland,Hotel,1,120
Clayton Hotel Ballsbridge,http://www.claytonhotelballsbridge.com,+353(0)16681111,-6.225122,53.325675,Dublin,Dublin 4,Republic of Ireland,Hotel,4,45
WatersEdge Hotel,http://www.watersedgehotel.ie,+353(0)214815566,-8.297908,51.849027,Cork,Cobh,Republic of Ireland,Hotel,1,70
Brook Lodge Hotel,http://www.brooklodgekillarney.com,+353(0)646631800,-9.512499,52.060784999999996,Kerry,Killarney,Republic of Ireland,Hotel,4,134
The Ripley Court Hotel,http://www.ripleycourt.com,+353(0)18365892,-6.251812999999999,53.35130600000001,Dublin,Dublin City,Republic of Ireland,Hotel,5,384
Zuni Restaurant and Boutique Hotel,http://www.zuni.ie,+353(0)567723999,-7.251932000000001,52.649611,Kilkenny,Kilkenny,Republic of Ireland,Hotel,5,271
Riverside Hotel Killarney,http://www.riversidehotelkillarney.com,+353(0)646639200,-9.507321000000001,52.049159,Kerry,Killarney,Republic of Ireland,Hotel,2,356
Kilkenny Hibernian Hotel,http://www.kilkennyhibernianhotel.com,+353(0)567771888,-7.252091,52.65022,Kilkenny,Kilkenny,Republic of Ireland,Hotel,4,135
Dillons Hotel,https://www.dillons-hotel.ie,+353(0)749122977,-7.736657000000001,54.950706999999994,Donegal,Letterkenny,Republic of Ireland,Hotel,2,76
Paramount Hotel,http://www.paramounthotel.ie,+353(0)14179900,-6.267649,53.344687,Dublin,Dublin 2,Republic of Ireland,Hotel,1,396
Kilkenny Ormonde Hotel,http://www.kilkennyormonde.com,+353(0)567750200,-7.253222,52.649597,Kilkenny,Kilkenny City,Republic of Ireland,Hotel,2,319
Trinity City Hotel,http://www.trinitycityhotel.com,+353(0)16481000,-6.254148000000001,53.34519399999999,Dublin,Dublin City,Republic of Ireland,Hotel,5,301
Woodlands Hotel,http://www.woodlandshotel.ie,+353(0)51392700,-7.064407000000001,52.239195,Waterford,Waterford,Republic of Ireland,Hotel,3,217
Forster Court Hotel,http://theforstercourt.ie,+353(0)91564111,-9.04621877,53.27504935,Galway,Galway City,Republic of Ireland,Hotel,4,116
Ballina Manor Hotel,http://ballinamanorhotel.ie/,+353(0)9680900,-9.15404,54.112587,Mayo,Ballina,Republic of Ireland,Hotel,4,134
Creggan Court Hotel,http://www.creggancourt.com,+353(0)906477777,-7.894189,53.410346,Westmeath,Athlone,Republic of Ireland,Hotel,3,87
Breffni Arms Hotel ,http://www.breffniarms.ie,+353(0)494335127,-7.583405,53.924431999999996,Cavan,Arvagh,Republic of Ireland,Hotel,5,74
The Galmont Hotel & Spa,https://www.thegalmont.com/,+353(0)91538300,-9.043548,53.27393299999999,Galway,Galway City,Republic of Ireland,Hotel,3,389
Mulcahy's Hotel,http://www.mulcahys.ie,+353(0)526125054,-7.70171,52.353766,Tipperary,Clonmel,Republic of Ireland,Hotel,5,294
Royal Spa Hotel,http://www.royalspahotel.com,+353(0)657074288,-9.290088,53.028613,Clare,Lisdoonvarna,Republic of Ireland,Hotel,2,242
The Ashbourne Court Hotel,http://www.ashbournecourthotel.ie,+353(0)18359300,-6.396965,53.510075,Meath,Ashbourne,Republic of Ireland,Hotel,5,106
Villa Rose Hotel,http://www.villarose.net,+353(0)749132266,-7.781476,54.799599,Donegal,Ballybofey,Republic of Ireland,Hotel,4,395
Harbour Hotel,http://www.harbour.ie,+353(0)91894800,-9.04744,53.270756000000006,Galway,Galway City,Republic of Ireland,Hotel,2,335
Victoria House Hotel,http://www.victoriahousehotel.com,+353(0)646635430,-9.500047,52.043343,Kerry,Killarney,Republic of Ireland,Hotel,5,72
Gateway Hotel,http://www.gatewayswinford.com,+353(0)949252156,-8.950969,53.944458,Mayo,Swinford,Republic of Ireland,Hotel,1,124
Mill Times Hotel,http://www.milltimeshotel.ie,+353(0)9829200,-9.521389595,53.79855461,Mayo,Westport,Republic of Ireland,Hotel,3,51
Loch Lein Country House Hotel,http://www.lochlein.com,+353(0)646631260,-9.586798,52.068661999999996,Kerry,Killarney,Republic of Ireland,Hotel,3,304
The Spencer Hotel,http://www.thespencerhotel.com,+353(0)14338800,-6.243396,53.348110999999996,Dublin,Dublin City,Republic of Ireland,Hotel,4,126
Ormond Hotel,http://www.ormondhotel.ie,+353(0)6744404,-8.197875,52.861695,Tipperary,Nenagh,Republic of Ireland,Hotel,1,136
Sliabh Beagh Hotel & Tourism Centre,https://www.facebook.com/sliabhbeaghhotel/,+353(0)4789014,-7.12933,54.30635,Monaghan,Knockatallon,Republic of Ireland,Hotel,1,280
Hotel Curracloe,http://www.hotelcurracloe.com,+353(0)539137308,-6.393937,52.393481,Wexford,Enniscorthy,Republic of Ireland,Hotel,1,396
Glasson Country House Hotel & Golf Club,http://www.glassoncountryhouse.ie,+353(0)906485120,-7.9007179999999995,53.475674,Westmeath,Athlone,Republic of Ireland,Hotel,5,168
Cork Airport Hotel,http://www.corkairporthotel.com/,+353(0)214947500,-8.486374,51.848219,Cork,Cork,Republic of Ireland,Hotel,4,354
Percy French Hotel,http://www.thepercyfrenchhotel.com,+353(0)719633300,-8.103714891000001,53.77598183,Roscommon,Strokestown,Republic of Ireland,Hotel,5,116
East Village Hotel,http://www.eastvillage.ie/Sleep.aspx,+353(0)214367000,-8.434258999999999,51.877765999999994,Cork,Cork City,Republic of Ireland,Hotel,4,232
Ashdown Park Hotel,http://www.ashdownparkhotel.com,+353(0)539480500,-6.284801,52.678888,Wexford,Gorey,Republic of Ireland,Hotel,2,217
Killashee Hotel,http://www.killasheehotel.com/,+353(0)45879277,-6.675461,53.191356000000006,Kildare,Naas,Republic of Ireland,Hotel,1,120
The Sheldon Park Hotel,http://www.sheldonpark.ie,+353(0)14601055,-6.343975,53.329565,Dublin,Dublin 12,Republic of Ireland,Hotel,5,220
Lynhams Hotel,http://www.lynhamsoflaragh.ie,+353(0)40445345,-6.297207,53.008103000000006,Wicklow,Glendalough,Republic of Ireland,Hotel,3,397
Seven Horseshoes Hotel,http://www.thesevenhorseshoes.com/,+353(0)499522166,-7.444253,54.100941000000006,Cavan,Belturbet,Republic of Ireland,Hotel,5,292
Clybaun Hotel,http://www.clybaunhotel.ie/,+353(0)91588088,-9.108141999999999,53.269481000000006,Galway,Salthill,Republic of Ireland,Hotel,4,270
Cavan Crystal Hotel,http://www.cavancrystalhotel.com,+353(0)494360600,-7.341139,53.982958999999994,Cavan,Cavan Town,Republic of Ireland,Hotel,3,199
Lakeside Manor Hotel,http://www.lakesidemanor.ie,+353(0)498548200,-7.053532000000001,53.818714,Cavan,Virginia,Republic of Ireland,Hotel,1,330
Woodenbridge Lodge,http://www.woodenbridgehotel.com,+353(0)40235146,-6.234952878,52.83232292,Wicklow,Arklow,Republic of Ireland,Self Catering,2,26
